year,stcd,dv,dpres,redist ,dexp ,rexp
1994,4001,32.81,37.95406,0,437530,544574
1994,4002,,41.05381,0,,149321
1994,4003,39.94,40.37003,0,443965,551212
1994,4004,26.44,37.61891,0,6311,184079
1994,4005,52.14,48.57209,0,643947,213775
1994,4006,63.81,66.62872,0,445461,13047
1994,4101,62.03,47.73897,0,480230,144356
1994,4201,25.2,41.44179,0,0,1117126
1994,4202,,46.21389,0,,200332
1994,4203,46.61,49.9833,0,502668,704220
1994,4204,42.59,54.4432,0,842445,613648
1994,4205,60.87,58.6884,0,486214,102251
1994,4206,50.6,54.15387,0,1385995,533704
1994,4207,39.1,44.44682,0,608768,493712
1994,4208,63.8,53.08995,0,251431,14906
1994,4209,57.78,68.92084,0,366683,181980
1994,4301,57.5,50.36092,0,752189,519586
1994,4302,57.04,54.55941,0,848019,136188
1994,4303,,30.36652,0,,417039
1994,4304,59.49,40.8071,0,559157,46375
1994,4305,51.39,54.43413,0,799511,394401
1994,4306,22.56,34.81465,0,33383,574897
1994,4307,,27.626,0,,215637
1994,4308,,29.13439,0,,709896
1994,4309,46.83,55.04695,0,1202868,245547
1994,4310,58.59,60.36987,0,567552,374406
1994,4311,59.18,46.7891,0,420832,52992
1994,4312,68.67,51.55778,0,345739,20471
1994,4313,44.58,45.63891,0,540096,442237
1994,4314,55.61,47.75634,0,789201,271551
1994,4315,59.94,60.59471,0,701528,30193
1994,4316,57.11,59.12183,0,704186,324335
1994,4317,53.65,45.9025,0,712156,192079
1994,4318,75.07,74.66861,0,593740,113182
1994,4319,,28.00434,0,,148894
1994,4320,62.52,58.39804,0,55382,0
1994,4321,,32.87939,0,,538347
1994,4322,24.4,35.13841,0,149385,701245
1994,4323,37.4,50.65546,0,426042,758591
1994,4324,52.83,54.88541,0,1589612,562260
1994,4325,53.75,56.79965,0,972688,4658585
1994,4326,22.7,30.76739,0,13131,900871
1994,4327,59.38,57.17043,0,469694,42282
1994,4328,72,64.72404,0,224124,0
1994,4329,73.44,63.0725,0,594375,10065
1994,4330,73.89,74.52279,0,240577,1060
1994,4401,35.45,30.4,0,276892,348036
1994,4402,43.9,44.53515,0,1009176,1976289
1994,4403,59.67,32.7585,0,278477,114884
1994,4501,,60.2542,0,,387767
1994,4601,24.02,40.51654,0,80435,423501
1994,4602,59.07,42.32546,0,386469,433587
1994,4603,79.45,71.88083,0,252350,77642
1994,4604,61.61,46.00295,0,741224,329607
1994,4605,53.29,46.54701,0,915224,356574
1994,4606,,42.99844,0,,211653
1994,4607,,35.5755,0,0,572427
